,overall,vote,verified,reviewTime,reviewerID,asin,style,reviewerName,reviewText,summary,unixReviewTime,image
3228238,5.0,,False,"06 24, 2013",A23E9QQHJLNGUI,B00BP5KOPA,{'Package Type:': ' Standard Packaging'},Bill Oterson,"Received the ""Logitech Wireless Combo MK270 with Keyboard and Mouse"", unpackaged it, removed my sticky key keyboard (I spilled something on it), plugged in the supplied 'dongle' and the mouse was working, but not the keyboard. Oh oh.

I had read the reviews and recall some reviewer saying his was defective. Oh no! Mine too? I flipped over the keyboard and realized I hadn't removed the cardboard from the battery compartment. I make absurd mistakes like this often, and I'm a techi, too.

Anyway, I've tested every key and looked at every option, and right this minute I'm typing away on the new keyboard. It not only works, it works as one would expect it to: keys are responsive to just the right amount of pressure and nothing sticks. And the mouse is very responsive to movement. The scroll button works as well. I am up and running and frankly quite satisfied.

This wireless combo hasn't a lot of bells and whistles but it does everything I want from a wireless combo and it's an excellent product for the price.",It does everything it's supposed to and at half the price.,1372032000,
3228239,4.0,,True,"06 22, 2013",AYPF6JQJT2TCI,B00BP5KOPA,{'Package Type:': ' Standard Packaging'},J. Culver,"Does everything you would expect. Feels substantial, doesn't flop around. One small transmitter for keyboard and mouse saves a port. If you want wireless, this one is well worth the money.","Good price, good quality!",1371859200,
3228240,3.0,,True,"06 4, 2013",A29I76F04ERLW,B00BP5KOPA,{'Package Type:': ' Standard Packaging'},JimV,"I like the keyboard but the mouse feels very cheap and the scroll wheel feels rough. I'll keep it for the keyboard, but that mouse has got to go.","Keyboard good, mouse not so much",1370304000,
3228241,5.0,2,True,"06 2, 2013",A2VJ7TPQUTP2PQ,B00BP5KOPA,{'Package Type:': ' Standard Packaging'},Robin DJW,"The keyboard is simple, not too bulky with too many extra (and unneeded) dedicated execute keys, and no bulky wrist bar. The mouse is a good basic mouse, w/o the side buttons that are too prone to unintended clicking. Batteries were included, a nice touch, and installation very easy - truly plug-n-play. It is just what I wanted.",Perfect KISS Combo,1370131200,
3228242,4.0,,True,"05 31, 2013",A346HRRKVGLRSI,B00BP5KOPA,{'Package Type:': ' Standard Packaging'},Michael,"It is a good product. A combined mouse and keyboard are remotely controlled by a tiny dongle. Only one thing that I would like to see Logitech producing the keyboard in white color and black text on the keys.

Michael",Good product for the price,1369958400,
3228246,5.0,,True,"07 4, 2018",A3DB0120TZMWNX,B00BP5KOPA,{'Package Type:': ' Standard Packaging'},Edward Gao,So cheap! Using it to type this comment right now!,So cheap you cannot complain,1530662400,
3228251,2.0,,True,"06 28, 2018",A3KMJ5C275L2D3,B00BP5KOPA,{'Package Type:': ' Standard Packaging'},David Hruska,The keyboard is flakey and stops working randomly.,Not the best choice.,1530144000,
3228252,5.0,,True,"06 28, 2018",A24TLETX9PMTAL,B00BP5KOPA,{'Package Type:': ' Standard Packaging'},RUSS663,As advertised,As advertised,1530144000,
3228253,5.0,,True,"06 27, 2018",A3KKM0T6GLA3A7,B00BP5KOPA,{'Package Type:': ' Standard Packaging'},Square,Nice. Gets the job done. Doesn't feel cheap.,Good purchase. Not cheap equipment.,1530057600,
3228261,4.0,,True,"06 21, 2018",A5L6EDJVYJ5EL,B00BP5KOPA,{'Package Type:': ' Standard Packaging'},Moises,"Decent bluetooth keyboard with mouse. I use it for gaming and don't feel any lag. Something to consider is that while using the keyboard, keys can easily get stuck, creating malfunctions, however that can be easily corrected by pressing that key again.",I use it for gaming and don't feel any lag.,1529539200,
3228268,5.0,,True,"06 20, 2018",A3LPU6HVMTA4D5,B00BP5KOPA,{'Package Type:': ' Standard Packaging'},Jesus E. Lizardo C,Excelente todo en orden  perfecto,Five Stars,1529452800,
3228269,5.0,,True,"06 19, 2018",A3PPIB09O9OUPR,B00BP5KOPA,{'Package Type:': ' Standard Packaging'},Mr. D,"Working on computer everyday I think that keyboard is very good. Might be not idea, but even better than mechanical keyboard at my work. I bought two. Don't know how it last long, my previous Logitech in the same price range 5 year now and still working fine (even letters doesnt wear off, with everyday usage). Will see, but for the price is great.",Very good keyboard,1529366400,
3228270,5.0,,True,"06 15, 2018",A2TOPBETYQMPFE,B00BP5KOPA,{'Package Type:': ' Standard Packaging'},FastEddy,Very nice keyboard and mouse. I love the key action. This a great deal for the money.,Very nice,1529020800,
3228276,5.0,,False,"06 14, 2018",AFWMFPFDWAYS,B00BP5KOPA,{'Package Type:': ' Standard Packaging'},Buyer,Works without issues,Five Stars,1528934400,
3228277,3.0,,True,"06 14, 2018",ATUKEXHEFABZO,B00BP5KOPA,{'Package Type:': ' Standard Packaging'},LOVE4TACOMA,"nope dead on arrival! Got it to
Work. Batteries that came with were dead.",One Star,1528934400,
3228278,5.0,,True,"06 14, 2018",A17IIS0PQXP257,B00BP5KOPA,{'Package Type:': ' Standard Packaging'},Texas Gurl,"This is a replacement for a Logitech wireless keyboard that I purchased over 5 years ago.  I really like this product and see no reason to change brands.  Thanks, Logitech!",I really like this product and see no reason to change brands,1528934400,
3228279,5.0,,True,"06 14, 2018",A2N3W25U3BWB4P,B00BP5KOPA,{'Package Type:': ' Standard Packaging'},Linda,"They are correct. It works right out of the box and beautifully. One reviewer mentioned how small the mouse is, and it is, yuck!, but you do not have to use the mouse that comes with the keyboard. You can use any mouse with wire or USB wireless. Unless I got a beautiful glitch but I doubt it.",SWEET,1528934400,
